GEOID,tarea,n_medincome,n_pop_total,n_pop_black,n_pop_hisp,p_pct_black,p_pct_hisp,p_renter,p_poverty,p_unemp,p_overcrowding,n_med_rent,p_mobility,n_pop_25,n_pop_65p,p_pct_65p,n_edu_yes_hs,n_edu_no_hs,p_edu_no_hs,name,n_commhlthcntr,r_commhlthcntr_100k,i_gini
55099,3311091367.98235,41026,13955,23,121,0.16481547832318166,0.8670727337871731,19.355348396271133,11.761797117829895,6.787032156035846,1.9194139194139195,545,90.38810554237051,3447,2968,20.96193233985451,9651,1141,10.572646404744255,county2010,2,14.331780723754926,0.409
55013,2279788684.17372,39626,15318,38,130,0.24807416111763939,0.84867476171824,18.084324959600412,18.49154746423927,10.163094756705755,1.632047477744807,687,90.22859704168535,3914,3569,23.08986219835673,10392,1414,11.976960867355581,county2010,0,0,0.435
55079,628276706.667847,43215,923245,246047,116008,26.65023910229679,12.565245411564645,48.68649160173205,19.249556168574003,9.298575211712652,2.5183724681842623,752,81.1297434310069,344654,109133,11.51513872548761,507196,89979,15.067442541968434,county2010,43,4.657485282888074,0.451
55003,2730866124.16948,38111,15534,30,221,0.19312475859405176,1.422685721642848,30.270190023752967,18.615275722282995,9.120483327524108,1.4640447825462897,510,87.41564608847789,5356,2567,15.88785046728972,9673,1131,10.468345057386154,county2010,7,45.06244367194541,0.416
55021,2061557283.7828,55910,55307,198,1089,0.35800169960402844,1.9690093478221564,25.423356058939962,8.663835107654403,4.873519052193404,1.0852037480932666,695,86.07681263460158,17128,8294,14.593633980257948,35429,3659,9.360929185427752,county2010,0,0,0.39
55111,2197907257.31621,50390,61118,236,2309,0.3861382898655061,3.777937759743447,29.779295014290252,9.42521477591851,5.368154821108869,1.2854784181146317,700,87.29515681814408,19429,9288,14.986446366335356,36972,4641,11.152764761012184,county2010,0,0,0.397
55005,2304477129.39756,42601,45189,352,715,0.7789506295779947,1.5822434663303016,26.32347572106608,11.87769847563662,6.828703703703703,1.163688790484527,595,86.8650872214523,13560,8348,18.19925877479834,27554,4454,13.91527118220445,county2010,18,39.83270264887473,0.425
55077,1202528171.49909,45012,15251,58,294,0.3803029309553472,1.927742443118484,19.038198143357178,10.86530931871574,9.12106135986733,1.0956470239857863,668,87.70989872590657,4061,3246,21.07244871461958,9663,1621,14.365473236440979,county2010,0,0,0.389
55087,1669477197.92343,55914,173656,1283,5223,0.7388169714838532,3.007670336757728,28.586606937744087,8.515460673895436,5.732793031316633,1.5363007152992962,664,88.2679782156052,59767,20834,11.79093918899799,105384,8814,7.718173698313455,county2010,3,1.727553323812595,0.402
36009,3425222767.52737,42466,77638,718,956,0.9248048635977227,1.231355779386383,27.76245234479125,15.963137204356512,8.404700258912568,1.4510500214290087,582,86.55493762212537,26537,12419,15.462479923303908,46825,6732,12.569785462217824,county2010,3,3.864087173806641,0.405
55109,1905412569.98268,67446,83495,413,1231,0.4946403976286005,1.474339780825199,22.154784741658542,6.441789073297213,6.219099114262271,1.316616390145802,808,86.9157388788072,28552,8468,10.039717825597249,51392,2916,5.369374677763865,county2010,0,0,0.392
55043,3064845947.649,43889,47311,215,453,0.45443977087780857,0.957494028872778,29.22767580944525,13.32962590635895,4.368697205373423,1.1640653547006317,535,82.46906187624751,19576,7974,15.57178565849086,27659,3500,11.232709650502263,county2010,0,0,0.4
55115,2355521644.14636,45841,41155,43,626,0.10448305187705018,1.521078848256591,23.62065926317645,11.89540249529995,7.444844456752516,1.7351810876906952,574,88.82574841611452,12552,7680,18.30794536222556,25123,3924,13.509140358728956,county2010,0,0,0.407
36061,59744124.0939917,64971,1518500,226718,386353,14.930391834046757,25.443068817912412,77.22564495984793,17.75808989310798,7.915385166358094,5.64309946408378,1234,83.69650712918798,415151,214153,13.503792548331424,987572,179188,15.357742809146696,county2010,111,7.309845242015147,0.601
55065,1643524493.02396,48114,16716,19,470,0.11366355587461115,2.8116774347930127,22.545014374338024,9.090909090909092,3.599562363238512,1.1327108525945202,556,89.78326309452137,5654,2601,15.44903777619387,9806,1321,11.872023007099846,county2010,1,5.982292414453219,0.378
55009,1385187782.25089,52553,241378,4280,15938,1.7731524828277638,6.602921558717033,34.353496030818334,10.336524244446885,6.299733761694406,1.9971734219132014,665,85.12010685382678,86300,28789,11.60814009281996,142084,15833,10.026152979096613,county2010,11,4.557167596052664,0.429
55117,1340321901.26662,51127,112484,828,5511,0.7361046904448633,4.899363465026137,28.260400948480275,8.350092510658836,5.75544113466216,1.6061152623894186,620,87.37624847639842,36474,16821,14.562753772498636,69769,8206,10.523885860852838,county2010,28,24.892429145478467,0.388
55071,1542435299.48612,49354,80342,315,2113,0.39207388414527894,2.6300067212665854,24.611178078969807,8.931193231305214,7.043628778127912,1.1237599133768401,547,90.4062519382249,24195,13714,16.83897743179195,50743,5827,10.30051263920806,county2010,11,13.691468970152597,0.398
