geoid,2000_2006,2007_2024,2010_2015
010719504001,1,2,0
010719504002,,1,0
010719504003,1,,
010719505001,0,2,0
010719505002,3,5,2
010719506001,2,4,1
010719506002,0,3,0
010719506003,2,13,2
010719506004,0,0,0
010719507001,0,1,0
010719507002,0,0,0
010719507003,,0,0
010719507004,1,7,0
010719508001,0,,
010719508002,0,2,1
010719508003,2,3,1
010719508004,0,2,0
010719509001,1,0,0
010719509002,0,1,0
010719509003,0,0,0
010719509004,1,6,1
010719510001,1,,
010719510003,1,2,1
010719510004,2,8,3
010719511001,2,8,2
010719511002,0,6,3
010719511003,1,2,2
010719511004,2,2,1
010719511005,,1,0
010730001001,1,4,0
010730001002,1,2,1
010730001003,1,0,
010730001004,0,3,0
010730001005,2,7,0
010730003001,2,13,1
010730003002,1,11,3
010730003003,0,0,0
010730004001,1,4,0
010730004002,0,5,1
010730004003,0,0,
010730004004,0,2,0
010730004005,3,4,0
010730005001,2,3,0
010730005002,0,3,0
010730005003,1,3,0
010730005004,1,5,0
010730007001,1,1,0
010730007002,0,1,0
010730007003,1,10,0
010730008001,0,15,2
010730008002,0,4,0
010730008003,1,3,1
010730008004,2,6,0
010730008005,0,3,1
010730011001,0,2,1
010730011002,1,2,0
010730011003,0,5,0
010730011004,0,6,1
010730011005,0,2,0
010730011006,1,8,0
010730012001,2,8,1
010730012002,0,2,0
010730012003,0,3,0
010730012004,0,2,0
010730014001,1,3,0
010730014002,1,6,0
010730014003,1,4,0
010730015001,0,6,1
010730015002,0,5,0
010730015003,0,,
010730015004,0,0,0
010730016001,1,2,1
010730016002,1,6,1
010730016003,1,5,1
010730016004,0,0,0
010730019021,0,1,0
010730019022,0,1,1
010730019023,0,6,0
010730020001,0,2,
010730020002,3,15,2
010730020003,,1,0
010730021001,2,3,1
010730021002,3,8,0
010730021003,0,1,0
010730022001,0,6,0
010730022002,2,2,0
010730023031,0,2,1
010730023032,0,2,0
010730023034,1,0,0
010730023051,1,1,0
010730023052,0,1,0
010730023061,0,0,0
010730023062,0,2,0
010730023063,2,,
010730024001,0,1,1
010730024002,3,14,1
